,0,1,2,3,4,5,6,7,8,9,10,11,12
41,RPL5,S100A12,SYNE2,TRBC2,HLA-A,PRSS23,CD69,MPEG1,EIF3K,ASAH1,HSPG2,JUN,BCL11A
42,RPS13,RTN3,KIAA1324,ITGB1,MYBL1,CX3CR1,TCL1A,ITM2B,HLA-DRA,CSF1R,MEIS1,PGLS,TRAM1
43,TRABD2A,FGL2,AC124319.2,RPL30,IL2RG,CD99,HLA-DPB1,SPI1,RACK1,CEBPB,JUP,SDCBP,PLEK
44,RPSA,BLVRB,GOLGA8B,RPS4X,IKZF3,ZAP70,CD19,CST3,ACTB,SERF2,SPINK2,LAMTOR4,TMED10
45,RPS21,CD68,PRR7-AS1,ACAP1,CMC1,CHST12,BLNK,NPC2,HLA-DMB,HCK,TSPAN2,CASP1,PACSIN1
46,RPL14,TYMP,PPIAL4G,HINT1,TRBC2,ARPC5L,PNOC,ATP5F1E,MT-CO3,GNAI2,MYCN,RPL34,ABHD15
47,RPL10,TGFBI,HIST1H2BG,CDC14A,CALM1,IFITM2,TPD52,ZFP36,FAU,SMIM25,EMID1,RNF213,CYB561A3
48,RPL22,JAML,AC007014.1,OPTN,C12orf75,SYNGR1,CD72,MNDA,RPL13A,NEAT1,CDK3,FMNL1,P4HB
49,RPS4X,RNF130,AL391097.1,SKAP1,TUBA4A,CD7,SYPL1,EIF1,RPL26,CAP1,DPPA4,MBNL1,TPM2
50,RPL18,RGS2,AL133410.1,RPL11,APMAP,MBP,CXCR4,CYBB,CYBA,NAP1L1,B3GNT8,RBM39,TBL1XR1
51,RPL37,SERPINA1,AL357055.3,ETS1,RUNX3,LITAF,COBLL1,HLA-B,RPL28,VSIR,MROH6,BTG1,DERL3
52,RPL39,FCGRT,AL049780.1,B2M,TRGC1,C1orf21,GNG7,FGR,OAZ1,DRAP1,FAM157C,CDC42,ERP29
53,OXNAD1,TMEM176B,FAM184A,CD40LG,PRKCH,IL2RB,MEF2C,MT-ND1,CAP1,ITGB2,ABCC3,MYO1F,CDK2AP2
54,CD27,SRGN,LINC01336,RPL32,ACAP1,FCRL6,TLR10,HLA-DMA,ARPC1B,SH3BGRL3,MEST,NFKBIA,PTPRE
55,RPS28,SDCBP,GPRASP1,EVL,TBX21,CD63,BCAS4,PFDN5,PFN1,PTP4A2,NT5M,BRD2,PARP10
56,NPM1,ATP6V0B,NRIP2,RPL27A,SKAP1,MYL12A,QRSL1,HLA-DMB,BTF3,S100A6,SLC24A3,DDX5,TSPAN13
57,FHIT,DMXL2,TMEM254-AS1,TNFRSF4,CD99,PLAC8,TSPAN13,JAML,RPL5,LYST,GEN1,TSPO,CXXC5
58,RPL13A,PABPC1,A2M,TPT1,FCRL6,GNPTAB,RPS27,HLA-DRA,RPL29,CSTB,ATP8B4,EIF1,CHD9
59,CD3G,TIMP2,AC012349.1,RPL34,RORA,KLRC2,IKZF3,NAGK,AP2S1,CDC42,PDGFC,SERPINA1,CYTH4
60,RPL18A,MEGF9,AC010168.1,AES,SYNE1,PTPN4,BIRC3,TMSB4X,LYZ,PECAM1,AP003068.2,HLA-B,PHB
61,RPS8,CFD,AC105020.3,RPS15,ANXA6,SAMD3,TNFRSF13B,TMSB10,RPL12,MT-CO2,PTK7,PTP4A2,CTSB
62,RPL29,RAC1,PNMA8B,RPL36AL,MYL12B,CCND3,CD24,S100A11,RPS8,MS4A7,CLU,HNRNPK,SPCS2
63,RCAN3,COTL1,AL023284.4,RPS6,RPS27,STOM,OSBPL10,ATP6V0B,ACTG1,POU2F2,FAM69B,PRRC2C,PPM1K
64,LTB,DAZAP2,LINC02249,SIT1,PTGDR,AC004687.1,LINC02397,TNFAIP2,NACA,PILRA,GATA2,ACTR2,CCDC186
65,LEPROTL1,AP1S2,C13orf46,TRAT1,PTPN7,HLA-A,FCER2,TKT,GSTP1,B2M,ACY1,BLVRB,LILRB4
66,LRRN3,CYBA,CEL,SRSF7,TBC1D10C,AKR1C3,ORAI2,AC007952.4,RPS23,CD52,LONRF3,TMSB10,UNC93B1
67,CD7,H3F3A,UBQLNL,FKBP11,SIT1,TPST2,FCGR2B,ADA2,UBA52,RNASET2,AL844908.1,NAMPT,SELL
68,TRAC,IL17RA,LINC01873,CD6,LITAF,CEP78,FAM30A,RHOA,CTSZ,STXBP2,AP003086.1,PCBP1,HERPUD1
69,NOP53,KLF4,SLC30A3,RPL10A,GIMAP7,TXK,MBD4,ARPC3,RPS14,H3F3A,SOX4,TNFAIP2,RNASET2
70,RPL31,CD44,SIX5,ISG20,TIGIT,PRR5,POU2AF1,IGSF6,RPL11,BID,CRYGD,DAZAP2,STRBP
71,RPL27,TNFAIP2,SPTBN5,ODF2L,C1orf21,TBC1D10C,RUBCNL,AOAH,RPL10A,TPM3,MAN2C1,SRGN,MEF2C
72,TRBC2,GSTP1,GOLGA6L9,RPLP2,TRBC1,SYNE1,FCRL2,SRGN,RPS6,LCP1,KIT,CSF3R,CLEC4C
73,RPS15,CLEC7A,FN1,SLAMF1,OPTN,NCR3,RPL13A,MCL1,EIF1,TCF7L2,SELENOP,S100A6,DBNL
