,0,1,2,3,4,5,6,7,8,9,10,11,12
5347,GPR83,LDB1,RRM1-AS1,TIPARP-AS1,AMBRA1,MEG8,AC010998.1,STX2,TRAPPC2B,WDR81,F9,NIP7,LINC01415
5348,IZUMO1R,SCRN3,OR51E1,GDPD1,TMEM273,AP002490.1,PAGE3,RANBP3,PTK2B,CCDC71,CXorf66,RPS6KB1,VN1R1
5349,AP002784.1,AKR1B1,SSU72P5,PARP15,ADK,AC015987.1,LINC00572,CCDC71L,SIN3A,MICB,AC103794.1,EMC9,AC093799.1
5350,HIST1H4K,TTC21A,SSU72P2,CREBZF,CCDC82,AL024508.2,AC004415.1,PIDD1,CARM1,ADO,SPANXD,SUPT16H,NFATC4
5351,HEPHL1,CCDC13,SSU72P4,AC008608.2,GLDC,SKA3,AC245177.1,NSUN4,MFSD11,DHRS4-AS1,AC124276.2,PPP6R2,AF131215.7
5352,AL022323.5,KCTD21,SSU72P3,Z97192.1,TSPAN9,HUS1,AL353680.1,BMS1,DLGAP4,TSR3,CNGA2,GIT1,PCDHGB7
5353,AL022323.2,ATP5MC1,AP003419.1,USP42,SLC35D2,CD8B2,MEDAG,ZNF503,RBM15B,ST20-AS1,AC091013.1,CCDC117,PLS3
5354,AP001273.2,MIGA1,SSU72P7,SIKE1,ZNF84,ENAH,LINC01066,PIKFYVE,LUC7L2,MAFK,MAGEA8-AS1,KIF22,AC009097.3
5355,AL022323.1,LRRC37B,OR52B4,EGR4,AKR1C3,B4GALT2,LINC01561,WDR41,ARSD,HERPUD1,AC079296.1,AC245014.3,GPR173
5356,AP000820.1,UTP23,OR52M1,CDKN2D,C21orf58,ZNF667,PLPP4,WRAP73,ARHGEF7,AL121929.2,MAGEA8,MMP25-AS1,AC105180.1
5357,AL035404.2,RUVBL2,C11orf40,KYAT1,POLR2I,OXT,AL161616.2,SLC25A20,SLC35B3,MIR4435-2HG,HSFX4,XXYLT1,PXDN
5358,POM121L2,ZNF664,OR52I2,ARHGAP25,CKMT2-AS1,KCNB1,USP17L10,KRI1,WDR12,PTPN13,ASCL3,SLAMF7,AL805961.2
5359,AL603839.2,POMT2,OR51D1,SOD2-OT1,SACS,CYP4F22,FOXR2,MRE11,GNB1L,SLC11A2,C11orf16,PLAA,LINC02367
5360,AP001830.2,SMIM15,HBE1,TMEM182,SOCS3,ERBIN,AC004949.1,ABL2,NARFL,MAP3K5,AC026894.1,STAU2,AL133352.1
5361,AL133255.1,TAF8,OR51B4,AL392046.1,KIAA0586,PDCD7,AC097518.1,CCDC174,TMED8,DAGLA,AF274573.1,PHF23,CAV2
5362,AP000942.2,ACOT8,AP001107.8,BBS5,UBE2Q1,WDR53,AL451069.1,P2RY6,C1orf174,ZNF791,GPR50-AS1,GTPBP1,AC034229.1
5363,AC119677.1,HES1,OR10A2,LIN37,AL353708.3,COX6A1,AC004852.2,TNNT1,ERG28,GBA2,GPR50,RAP2C,GVQW2
5364,AP001527.2,GTF2F2,AC068733.3,GGPS1,USP45,ZKSCAN5,AC009988.1,LIMD1,AC096733.2,FTSJ3,KC877982.1,AC074117.1,SRPX
5365,AP001527.1,NHLRC2,AC068733.1,TBC1D10A,CENPT,ZNF335,ARMS2,NEXN,TCEAL3,DMAC2,LMO1,MAML3,DRC7
5366,AL031289.1,ETFDH,AC084337.2,FXN,CXorf40A,GLIPR1L2,BTBD16,PDCD10,POLA2,ZNF33B,AC116456.1,LSM2,AC005786.2
5367,GSTT4,LINC00968,AC091564.4,FUNDC1,C6orf47,THOP1,TACC2,VAV2,CPT2,ZFP36L2,AC124276.1,WASHC3,GABRD
5368,ANGPTL5,IFITM10,AC091564.5,LNPK,BCS1L,ST8SIA4,USP17L12,AC010642.2,TBC1D10A,TNRC6B,TUB,IDH3A,CAMK2B
5369,PGR,BANF1,OR2AG2,AC004520.1,NCAPG2,DENND2C,XAGE1A,AC005261.1,SCARB2,ESYT1,CASC23,HBEGF,U2AF1L5
5370,AP001351.1,INO80,OR2AG1,CBLN3,PFDN4,ITK,AC108477.1,LDB1,PYGB,LIMK1,BX546450.1,USP36,CFAP97D1
5371,NT5C1A,GNMT,OR6A2,CTU2,KCNB1,NR2C2,GLRA3,SLC16A1,POLR3H,RFLNB,NLRP10,TMEM19,SYCP2L
5372,CNTN5,BCL2A1,AP000944.1,SPHK2,GTPBP3,VPS33B,AC096751.2,TMX3,SLC9A8,SDCCAG8,OR10A3,STX17,SHMT2
5373,AP002428.1,MEX3D,AC087280.2,IMMT,MPHOSPH6,TBC1D24,AC005281.1,C5orf24,AIFM3,VPS33A,OR10A6,FAM208B,LINC01800
5374,AP003715.1,PDE6G,OR10A5,HIST1H2AM,YBEY,AC048341.2,TFPI2,TAOK2,XXYLT1,PRKAB1,OR5P3,ZCCHC10,AL136040.1
5375,AP003730.2,AC093484.2,OR10A4,ELOA-AS1,PRELID3B,WDR18,USP17L11,ERCC4,FAM200B,EEF2KMT,OR5P2,CLCC1,NOP14
5376,LINC02553,KMT2E,AP001107.4,ARHGEF39,GPAA1,SH3BP5-AS1,AC013470.2,RSAD1,RIPOR1,ARHGAP29,PASD1,ORC2,PQBP1
5377,AP003066.1,TUBB6,OR2D2,ZNF160,FAM120B,SPDL1,AL731566.2,TTL,SSH2,ZNF18,AC044810.3,AIMP2,CCNYL1
5378,AP003781.1,GCHFR,OR2D3,NOB1,ZNF724,UBR7,AC025947.1,TRMT10C,AKAP8,ZNF624,OVCH2,ATP10A,TRAPPC6B
5379,JRKL-AS1,TMEM251,ZNF214,NRG2,LRRC69,PTGES2,AC004160.2,PCSK7,SDHAF3,MAP7D3,FATE1,CCDC130,FRG1
5380,AL603839.1,SRCAP,RBMXL2,FREM3,ZNF726,PRR34-AS1,ALAS2,COQ8B,ARHGAP32,AK2,LINC00850,WDR43,TNFAIP8
5381,TMCO2,RNF6,AP003068.3,PWP2,AL158835.1,NFS1,AC116616.1,PRPSAP2,PDIA4,E4F1,MAGEA9,MYBBP1A,LONRF1
5382,IGLJ3,PCYOX1,AC027804.1,AL158211.2,CACNB3,GMFB,LINC02587,ZNF654,GGCX,SCGB3A1,HSFX1,FADS2,AC060780.1
5383,AC099795.1,SLC35D2,SYT9,ELFN2,AL139246.3,AP4B1,PAGE2,EXOSC10,SPTY2D1,DDX51,MAGEA11,BPGM,PKD1
5384,CRYAB,AC024909.2,AC107884.2,GNB3,AP004609.3,ITFG1,AC060834.2,GART,THAP1,PLEKHM3,MAGEC3,TMEM134,NANOG
5385,HSPB2,SLC2A13,OVCH2,FUT2,MAGEE1,AL031595.2,LINC01093,RAB27A,CISD3,RELL2,MAGEC1,TTC19,KCNAB1
5386,MIR548A1HG,SLC35F5,AC044810.3,STBD1,NDUFB4,DCUN1D3,RXFP2,AHCYL2,ZBTB8OS,EPM2AIP1,MAGEC2,ZC3H8,AL359715.1
5387,TMPRSS4,IFIT1,OR5P2,SPTB,ZNF8,AC005229.4,AC012055.2,XRN1,GPR35,MRPL48,AC104031.1,LINC00476,ROR1
5388,AL357052.1,VPS50,CNGA4,CCBE1,RPF1,CDC7,AC022395.1,SLMAP,KBTBD2,DRG1,AC023946.1,ZNF83,AC091180.3
5389,AL513188.1,RBM15,C11orf42,AC068768.2,SETMAR,ZNF287,ADGRA1,MFSD14C,BACE1,NUBP2,SPANXN4,ELP3,BVES
5390,AL031767.1,ID1,OR52W1,ADAM20,FLVCR1,NEDD4,AL513324.1,BAHCC1,DDX55,TMCO6,AC239727.1,TRUB2,MYOZ3
5391,FXYD6-FXYD2,TMEM184B,OR56B4,ANKRD24,MRE11,POLA1,AL139121.1,AGO2,DOCK7,PMPCB,SPANXN3,ABT1,DSCR9
5392,LINC00581,GPN2,OR51B2,ZNF114,COQ8B,MFF,USP17L20,NOTCH2NL,TEDC1,THG1L,AC111188.1,SLC12A6,GSN-AS1
5393,IGLV3-12,HSDL1,OR51B6,PRKG1,SAR1A,TIPRL,MAGED4B,ZNF561,EBAG9,NEDD4,AC069360.1,GTPBP10,AP001267.3
5394,AP001554.1,PRICKLE3,OR51Q1,AC005523.1,PAQR4,RFX7,AC005871.1,TIMM9,ZNF689,RBM14,SPANXN2,GPATCH4,POU4F1
5395,AL512380.1,NKAPL,GAL3ST3,ZC3HAV1L,CHST14,KCTD5,EMX2,MRPL22,ODR4,CRYZL1,AL500522.1,ERCC6L2,SULT1C4
5396,AP000892.1,NFATC3,OR51I1,IQCH,THAP7-AS1,IFT27,AC002076.1,RBM18,POMC,PDE6G,AL713923.1,EIF1AY,BAIAP2L1
5397,IGLV2-11,NAA35,OR51I2,SLC16A14,ACSL5,JRK,AC209005.1,SYNJ1,AL390728.6,TXN,SPANXN1,IFNG,LINC01579
5398,IGLV3-10,RNF14,OR52D1,RYR3,BRCA2,KCNN1,CPZ,AC093673.1,CCNYL1,LMF2,SLITRK2,NUTM2A-AS1,AC024933.1
5399,AL359694.2,ZNF322,UBQLN3,AC024267.6,PIGU,AC022916.1,ADGRA1-AS1,USP37,ASNSD1,ARHGEF3,CXorf51B,CPSF4,AC092118.2
5400,HDGFL1,PKD2,OR52B6,AC055876.5,AL365203.2,OTULIN,LINC02268,LZTR1,GOLGA8N,ZNF296,CXorf51A,OLIG1,AL355512.1
5401,AL033539.1,TSPAN17,TRIM6-TRIM34,LINC01088,LINC00115,CETN3,LINC00423,PRRC1,TACC3,PARG,AL589669.1,TOR1AIP2,TCF4-AS2
5402,AL035401.1,MRPL47,OR52N5,DIRC3,DTNB,AARSD1,GPR78,CHSY1,MAP3K3,PHF8,L29074.1,RWDD4,ALOX15
5403,APOA1-AS,CBFA2T2,OR52N2,ARHGAP23,RFXAP,TASP1,AC105345.2,IL17RC,KLF2,FBXO4,FMR1NB,XYLT1,PRELID3A
5404,APOC3,PPP1R11,OR52E6,CCDC42,COX16,ANKRD46,AC239585.2,HSD17B12,ZNF714,HINFP,AC002368.1,RMND1,SERF1B
5405,APOA4,GFER,OR52E8,ACTN3,ERV3-1,POM121C,AC005871.2,DMAC1,B3GALT6,ASH1L,AC100763.1,SPATC1L,ELAVL3
5406,AP006216.3,AP003774.1,OR52E4,DPP9-AS1,AC026202.3,PPP2R2D,AC112722.1,PPP1R12B,FBXW11,PHF14,HSFX3,SGSM2,AC016737.2
5407,AP006216.2,PA2G4,OR52E5,LRRC49,KDM8,ZNF670,ASB12,HMGXB4,PARP8,UTY,MAGEA9B,SLC45A4,NCBP2-AS1
5408,APOA5,SART3,AP001266.1,PRR36,DDX18,DTX1,LINC01168,RPS10,PDE12,SMIM20,HSFX2,KLRG1,FO393418.1
5409,STMND1,MRPS7,OVOL1-AS1,AC011939.3,LCMT1,QPCTL,USP17L19,GNL3,PEX19,ZNF93,CT45A9,CPSF1,SPOCK3
5410,IGLV3-13,ZSCAN29,OR56A3,AC136475.8,RNPC3,AC009065.4,HMX1,ERCC2,R3HDM2,AC093673.1,CT45A8,IVD,ENAM
5411,MPL,CUL9,OR56A5,AHRR,MATN1-AS1,ADAM10,AC095050.1,DUSP18,RCBTB1,TSSC4,CT45A7,TRAM2,FBXL12
5412,FOXR1,C3,AP001266.2,C4orf50,PCNX2,TTF1,LINC02437,TAZ,AAAS,MTM1,CCDC160,CHD1L,PLA2G6
5413,AC244250.1,MINDY3,OR52L1,KLHL4,ZNF558,COQ6,AC012055.1,POLR1A,MLH1,NDUFAF7,ARHGAP36,USF1,TUBGCP6
5414,AL023583.1,MYPOP,OR56A4,AC113414.1,JPH4,CFL2,HELT,SCRN1,KRIT1,GORASP2,OR13H1,SPTAN1,TMPO-AS1
5415,RNF182,LAMC1,AP003559.1,AC092070.3,AC104184.1,CNPPD1,AL157788.1,ZC3H14,IRGQ,SIGLEC11,FRMD7,MIR4435-2HG,CDK3
5416,AL022396.1,PBLD,AC100768.2,AL022328.1,AL138781.1,XPOT,LINC02436,ACP1,DOPEY2,AL355472.1,HS6ST2,CAAP1,FAM227B
5417,IGLV3-24,ARRDC3,LRRC10B,AC020922.2,AL683807.1,EXOSC1,FAM90A26,ZG16B,NHLRC2,CCDC47,WT1,TMED1,BLOC1S6
5418,AL353152.1,COQ8B,OR5D13,CHRNA7,LAMP3,SLC25A51,LINC01166,RAB11FIP4,WDR75,COPRS,AL078612.2,PATL2,SMIM3
5419,AL139289.1,GPATCH1,OR8I2,EXOC3L2,B4GALNT3,PRMT6,LINC00297,RAC2,UBXN11,CR1,HS6ST2-AS1,CDR2,REXO1
5420,IGLVVI-22-1,TMEM229B,OR5F1,AC120024.1,TOX2,PDCL,LINC01167,PAK1IP1,BCAT1,ZC3HAV1,USP26,NUP54,GRIP1
5421,LINC01108,LENG8-AS1,OR10AG1,AC010680.5,AL360270.1,ZNF2,NXPH1,AHSA1,CD40,ERI3,AL035078.3,PBX4,MCMBP
5422,IGLV3-22,FUBP1,OR5I1,CDHR4,AC106047.1,PAN3-AS1,NLRP2B,RTL8A,ECD,THAP6,AL035078.1,ELOF1,MIEN1
5423,IGLVI-20,GCLC,OR5W2,AC074138.1,KCND3,SNAPC4,ZAR1L,RFC1,SEC24D,EBLN3P,AL035078.4,RIPK1,AC114760.2
5424,IGLV3-15,RNF167,TRIM51,ABCG2,AC108673.3,AC078883.1,PRLHR,CDK9,BRD1,CDK10,TFDP3,ZNF146,PAXIP1-AS2
5425,AL080313.1,AC147067.1,OR5D16,LINC02332,FBXW9,ABHD17B,AC007128.2,NAA60,PRR14L,TMEM30A,PLAC1,PAK4,MAPK10
5426,AL109914.1,PRICKLE1,OR5L2,AC145422.1,AGAP5,ZNF585A,AC007128.1,STAM,INTS1,BET1,PTPN5,MTF2,SOCS1
5427,TREH,ZNF354A,OR5D18,AL157938.2,DNPEP,SPATA24,LINC00867,SRI,EMC1,PLCB3,AL137804.1,ZDHHC8,CDH1
5428,AP000941.1,SUDS3,OR5L1,GPR63,CABLES2,PABPN1,AC007009.1,GTF2E2,FAAH,PHRF1,AL672032.1,HOPX,OGFOD3
5429,AL138720.1,TBL2,OR5D14,AC027319.1,LAMB1,TONSL,AC105914.2,ARHGAP35,RDH14,PCSK7,AL136088.1,SLC16A5,WIZ
5430,IGLV2-18,MTPAP,OR5D3P,AICDA,GOLGA8Q,EED,DMBT1,PCED1A,LMF1,U62317.5,AL353699.1,HDDC2,CEP89
5431,LINC02543,PEX2,OR8H3,BX004987.1,LINC01116,LUC7L2,ITIH6,AGA,NFYB,RNF113A,LINC02243,AGL,TSPAN2
5432,IGLV3-17,ST20-AS1,AP006437.1,AC022929.2,TGM1,SLC9A3,LINC00427,MRPL36,GSKIP,SHQ1,FSHB,NIPA2,AC020765.2
5433,AL009031.1,ZNF100,OR4C6,AC009549.1,AC025682.1,RAD51B,AC093801.1,PER2,ROBO3,LINC02384,AC124657.1,EZH2,IPO11
5434,IGLV3-16,CC2D2B,OR4S2,TEPP,STIL,IKBIP,ASB5,USP1,MEMO1,SLC16A6,KCNA4,SINHCAF,SLIRP
5435,AL139231.1,AC004069.1,OR4P4,SPRY4,PSMD12,AL928654.3,AC104803.1,SRD5A1,EP400,PET117,LINC01616,VTI1A,ELP3
5436,NRSN1,COQ9,OR4C11,P2RX6,PEX19,SLC16A11,AL158835.4,ZMYM3,ARSA,IMPA1,AC107973.1,SCYL2,KIAA0513
5437,AP000770.1,TICAM2,OR4C16,RUNDC3A-AS1,EML5,NDUFS3,LINC00290,ZC3H10,FAM193A,C9orf66,LINC02546,MFSD4B,CDHR4
5438,HIST1H2AA,MIR3945HG,OR4C15,IQCA1,ZNF426-DT,PARD6A,XAGE3,REPS2,DDX19B,DTX2,AC110058.1,GPALPP1,SPRY4
5439,NCAM1-AS1,KCNC3,OR4A15,MARVELD2,EFHC2,AC099522.2,AC006458.1,ABHD18,NIF3L1,AVL9,LINC01201,B9D2,PRR36
5440,AL133268.3,CRYZL1,OR4A16,LINC02145,AC091057.6,AL391988.1,AL355537.1,C8orf33,ERO1B,ASB2,KIAA1549L,PLRG1,KIF24
5441,AL133268.2,DECR2,TRIM48,CASC11,AL731577.1,PIGF,AL355537.2,HLX,DERL2,GPS2,AL049629.1,TTC38,AC023055.1
5442,AP003100.1,ZFAND2A,OR4A5,POC1B-GALNT4,HINFP,PRKD3,AL391869.1,NARF,JDP2,PALB2,AL049629.2,RNF4,LINC02323
5443,AP003063.2,CPNE1,OR8H2,AL358333.3,ZNF862,DHFR,XAGE5,ILKAP,FADS2,MLC1,AL138812.1,GON7,AL354793.1
5444,AP003063.1,CD48,OR8J3,AC012615.2,TADA2A,DVL2,TEX36,PHF23,OSBP,CDK16,FJX1,ACSS2,IGHV1-3
5445,FAM183A,ZNF747,AC103798.1,AL121972.1,ZNF644,ZW10,USP17L17,QPCT,RC3H1,NHLRC3,AL135934.1,EMG1,FBXO16
5446,PLET1,MYSM1,OR5M3,LINC00563,CCT5,HNRNPA1P48,LINC00385,FFAR2,MYO1G,MRPL9,PAMR1,TNFSF8,AC021086.1
5447,IGLJ1,AC005070.3,LRRC55,RIBC2,MBOAT1,TNPO2,SPANXN5,NRP2,ACSF3,OPA3,AC090625.2,MINDY1,AC011944.1
5448,SCGN,RFX3,OR5AK2,TMEM136,ZNF699,EMC6,TEX36-AS1,VPS51,GATB,SETD9,AL133330.2,PRDX4,RIBC2
5449,AP002884.2,PPP1R7,AP001803.2,AC092436.4,AKAP5,ZDHHC6,SSX2B,ZDHHC4,DENND4A,NOXA1,TEX13C,MAP2K4,AL592430.1
5450,AP002840.1,GMDS,OR9G4,AC100827.4,POLM,TSNARE1,AL157832.2,FKBP3,SLC43A3,MKRN2,AL445072.1,FXYD6,AL591845.1
5451,HIST1H2BA,IGHMBP2,OR9G1,FSCN3,GNLY,DAPL1,EBF3,MBTD1,OTUD6B,LDHD,DCAF12L2,PEF1,SLC16A14
5452,AP002884.3,CNOT10,OR5AR1,CFAP43,PDXDC1,ZNF594,AL158166.2,MXI1,TWSG1,ALG3,DCAF12L1,C6orf203,AC027682.2
5453,SLC17A4,ERV3-1,OR5AP2,AC091152.2,FTO,EPB41L5,AL591212.1,LPAR1,CCPG1,MBD3,PRR32,DVL1,KIF26B
5454,SLC17A1,TTN-AS1,OR5M1,AC005304.3,SESN2,FAM239B,AGMO,AC087239.1,ADSL,DEGS1,AL591643.1,SASS6,TRERNA1
5455,SLC17A2,TRRAP,OR5M10,LINC01659,TNFRSF14-AS1,LINC01353,AL359094.2,BTBD10,TTBK2,CNPY2,ACTRT1,PIP4P1,AC026979.3
5456,IGLC1,CLCC1,OR5M11,AL390067.1,BCCIP,GNRH1,C10orf90,AC090204.1,DTD2,TMEM53,AC087783.1,ZNF267,AL732292.2
5457,U91328.2,APOM,OR5M8,MMP15,AL591895.1,ZNF793-AS1,LINC00601,MTR,ACOX1,CNOT9,AL137224.1,PELI2,AC027319.1
5458,IGLJ2,ELAVL1,OR5M9,AL355075.3,SURF1,AC027682.4,HEPACAM2,CLCN3,AP4M1,COIL,AL442647.1,IFT43,UTS2B
5459,C11orf52,ACP5,OR8K5,LINC02586,TBRG4,AC138028.1,AC027627.1,GGPS1,WDR55,PSMB5,APLN,IFIH1,GPR63
5460,HSPB2-C11orf52,SNRPC,AP002512.3,AC018754.1,BIN3,KCTD1,FANK1-AS1,TERF2IP,USP13,ZNF350,AC132216.1,EXOC4,SCHIP1
5461,TMEM125,MTOR,OR5R1,AC078795.3,CACYBP,AC007365.1,AC103879.1,NIT2,MYSM1,MAML1,AC113192.2,PHAX,STOX1
5462,DRD2,TRPV4,OR8U1,AC112484.3,PPP6R2,ERRFI1,LINC01098,ADNP2,DDI2,SEC24A,AC113192.1,KRR1,GRB14
5463,LINC02151,ATP7A,OR8J1,CLIP1-AS1,MUM1,NAA38,AL359094.1,DDA1,DDB1,NEDD1,AC113192.4,AC104794.2,PARD6G
5464,NXPE4,RWDD4,OR8K1,APLP1,AC002310.1,AC138696.2,LINC02509,LEMD2,MAN2A2,CLN5,AC113192.5,THAP11,HEBP1
5465,AP000797.3,INPP1,OR8K3,AL121672.3,NUDT2,TAS2R31,AC092673.1,AC005332.1,VKORC1L1,DNMBP,AL034405.1,BMI1,TIGD5
5466,AP002991.1,CHID1,OR8H1,SCUBE2,ISCA1,H1FX-AS1,AL354674.1,ZNF362,SLC31A1,AC092490.1,GPR119,HIST1H2BG,TTC24
5467,AP000997.2,AC021016.3,OR5T1,TMEM17,ADIPOR2,TEC,NPS,NXPE3,LIG3,PRKRIP1,C11orf91,ING2,TGFBRAP1
5468,AP000997.1,NEPRO,OR5T3,AC010186.1,DENND2C,CDC27,LINC01099,SLC12A4,MLLT11,CSNK2A2,AC090124.2,AMMECR1L,LINC01136
5469,AP003174.1,SSNA1,OR5T2,SPP1,CKAP2,NR4A2,AC020551.1,ZNF746,ZNF800,WASL,AC090124.1,TRIM13,ALG9
5470,AP003174.2,LINC01004,OR5J2,PRR19,AL139089.1,CYREN,AC005550.2,UBE2Q2,TYSND1,POC1B,AC090791.1,ABCB10,AL359513.1
5471,AP000462.1,LANCL2,OR4C46,TRIM17,NEMP1,CDC37,LINC00365,TYW3,PLAC8,GAS6-AS1,LINC01495,BCAS2,EEA1
5472,AP000462.3,TMEM18,AC109635.2,RASAL1,NDUFB2-AS1,TOM1L1,MEOX2,AP1G2,EXOC1,SYT11,SLC17A6,BLZF1,VPS33A
5473,IGLV3-7,SMIM13,OR4C12,C17orf99,KIAA1586,AP002026.1,FOXI2,HERC3,ZDHHC6,ERAL1,AC104009.1,BTAF1,EDEM3
5474,NXPE2,DEF6,SYT13,GUCY2D,SHPK,TMED6,LINC02500,USP47,CRELD2,OLFML2B,AC107886.1,DERA,NOTCH1
5475,NXPE1,NUMA1,ACCSL,LMNTD1,PIK3IP1-AS1,AL442663.3,AL354950.2,OGG1,ZCCHC3,MAPK9,AC107882.1,TMEM216,CTNND1
5476,AP003170.4,PCNX4,ALX4,AC104423.1,RAB35,CACNB2,FAM156B,POMGNT1,ATP7A,SSBP2,AC090857.2,ETFA,RCBTB1
5477,IGLV3-6,E2F6,AC010768.4,AL732292.2,PLXNA1,ZSCAN20,TEMN3-AS1,ABCE1,CPSF1,NUDT9,AC090707.1,CHST11,TBL2
5478,IGLV2-5,USP47,AC018410.2,AC018410.1,FADS2,Z68871.1,AL357127.1,FECH,HGS,ATAD3A,NELL1,SKIV2L,CHUK
5479,IGLV3-4,TIPRL,AC010768.1,BRMS1,AC025159.1,C16orf46,FP565171.1,TTC31,PIGX,TFRC,SLC6A5,AC104506.1,FAM90A1
5480,AP002518.1,UNC45A,AC010768.2,PCM1,LONP1,AC010746.1,AL160290.1,C12orf43,CRKL,PDCL,INTS6L-AS1,FKBP4,AC244197.2
5481,AP002518.2,TCF20,AC104241.2,UBQLN4,ALDH5A1,PYCR1,AL160290.2,CCDC18,CDK6,TMEM106B,DBX1,HIPK1-AS1,RNF222
5482,IGLV4-3,ZNF182,AC104241.1,HSPH1,PRKX,SLC3A1,AC005019.2,CEP44,CBR4,WDPCP,NAV2-AS1,VIRMA,AC012377.1
5483,HTR3B,PLEKHA3,AC068858.1,TUBGCP6,ACTR1B,MIR194-2HG,USP17L13,FPR3,RTN4IP1,E2F6,NAV2-AS2,DRG1,LCN12
5484,IGLV3-2,TPRG1L,LRP4,HIST1H4A,KPNA2,C20orf144,AC097537.1,ATF2,SC5D,MCCC1,CT45A1,ATXN7L1,AL157373.2
5485,AL512428.1,MARCH6,F2,SLC39A10,GGCT,AL121983.2,AC019193.3,SLF2,ING2,FAM126B,CT45A3,RUVBL2,LYSMD1
5486,CLDN25,PANX1,AC103681.1,EIF4B,AL450326.1,AL512625.3,AC011287.2,SCARF1,CCP110,CIDEB,NAV2-AS4,AL662844.4,LRFN2
5487,CRYBB3,POLD1,OR4C13,INTS2,CTU2,AC008758.4,SSX2,SLC25A33,RHNO1,FCHSD2,NAV2-AS5,SOCS7,PRSS53
5488,AP003969.1,ASF1B,AC103855.3,LINC01970,ZNF639,AC069209.1,SSX7,ZNF644,HACL1,OTUD6B,CT45A5,PLEKHA8,AL049830.3
5489,STC2,ANKRD10,AC018716.1,SPECC1L,MAPK7,AL355802.2,HMX3,CCDC97,ING3,BTG2,AC009652.1,PPIP5K2,ASB16
5490,LINC02571,COL9A2,CHRM4,SLC16A7,FAM229A,AL008729.2,AC019193.2,RFT1,LENG9,ASMTL-AS1,CT45A6,TMEM71,AL138694.1
5491,AP001372.1,TM2D1,AC103855.1,TDP1,AL163051.1,AL358472.3,XAGE1B,KLHL21,LINC01410,SLC9A6,AC009652.2,WDR70,SEMA5A
5492,AL008638.2,IRAK4,CHST1,AL138689.2,STRADA,AKAP3,WWC2-AS1,FLCN,RUVBL1,POLE,CSRP3,SDR39U1,WNT7B
5493,P4HA3-AS1,C16orf86,AC087442.1,CDC25A,AC023509.4,AC001226.1,CLDN24,FAM120AOS,C2orf74,PKP4,CT45A2,G2E3,WDR31
5494,AL008638.6,ITIH4,LINC02489,MMP21,TOX4,TBC1D32,AC131094.1,SLC7A6,CCDC106,DNAAF5,MRGPRX2,RAB34,MSX1
5495,MDC1-AS1,MRPS18A,AC044839.4,NPIPA2,RNF26,CNOT1,C10orf120,CLEC10A,SMAD3,TBL3,AC023078.5,VKORC1,KDM6A
5496,AL008638.1,C6orf120,AC024475.3,AC092376.2,AC012615.1,CCDC173,GNGT1,PDCD7,FOSL1,POLL,MRGPRX1,FBXO11,UBE2Q2
5497,LINC02570,APPBP2,AC024475.4,SMC1B,NMNAT3,AL034417.4,GPR26,YARS,APOBEC3G,DLEU7,AC040936.1,STK39,AL627171.1
5498,AL021153.1,TAF2,AC044839.3,SELENOP,ZNHIT1,AC019131.2,USP17L18,PLCL2,DYRK2,GK,AC055878.1,ZNF777,SMCR5
5499,LINC01638,AL645933.2,AC087521.1,AC027271.1,SLC5A6,PDE2A,LINC02577,RTL8C,TMEM102,SWSAP1,AC090833.1,SIGMAR1,AC022098.4
5500,AP002770.1,ARHGAP18,AC087521.4,RPUSD3,PSMG3,C17orf97,TCERG1L,MOB3B,FAM20B,CIPC,AL590282.2,RSRC1,MARK2
5501,AP002993.1,HIRA,MIR670HG,SLC29A2,MRPS34,AP3B2,AC098864.1,PKNOX1,FAM168B,INPPL1,AC100773.1,LRIF1,HIST1H3H
5502,MUCL3,SKP1,AC068205.1,KLHL7,BUD31,AL356019.2,AL354950.1,LDLRAD4,C1RL,WASHC5,AC013714.1,PPP5C,ACSF2
5503,AL020994.3,ZNF562,AC021713.1,AP002490.1,UQCRQ,CNKSR3,AC006150.1,C11orf68,SUPT5H,RING1,AC090159.1,MFHAS1,UBL4A
5504,HCG21,NF2,TRIM64C,MEG8,FAM239B,ALG1L,DGKB,WDR55,TXNRD2,GK5,BDNF,SUPT7L,VPS25
5505,MUC21,AC092171.3,TRIM49B,AL049780.2,WDR77,TTK,TENM3,PTCD3,ABCF3,SNRPA1,LINC00678,OPLAH,MSMO1
5506,MUC22,AC116651.1,OR4A47,CAD,ENOPH1,EXOSC9,FAM53B-AS1,C2orf69,ELP1,AC011825.4,AC100771.2,AC073195.1,THAP1
5507,C6orf15,PTGES2,OR4C5,GASAL1,CYTH3,RCCD1,AC079226.2,MAN1A1,PREPL,BBS2,ETDB,NME1,PNPLA8
5508,CDSN,SUPT7L,OR4C3,TMEM258,MARS2,SGPP1,AL355500.1,MTHFSD,CERS6,SCRIB,AC234771.1,NUP50-DT,C12orf65
5509,PSORS1C2,PCCB,OR4S1,ING5,LRRC7,AIP,ETV1,MTURN,COPS7B,ZCCHC7,BBOX1,ANKRD36B,STK38L
5510,AP002761.1,CCDC142,OR4X1,POLR3G,AP003696.1,GCDH,USP17L15,RUFY4,C18orf21,SLC16A5,FIBIN,ZNF511,NEK3
